Row 111: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.18912667036056519
Row 112: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.1719333380460739
Row 113: Col 0: 0.0, Col 1: 2.0, Col 2: 1.0, Col 3: 1.0, Target: 0.019999999552965164
Row 114: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.07565166801214218
Row 115: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.375
Row 116: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.0833333358168602
Row 117: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.06698166579008102
Row 118: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.15000000596046448
Row 119: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.3333333432674408
Row 120: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.10000000149011612
Row 121: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.3333333432674408
Row 122: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.0833333358168602
Row 123: Col 0: 0.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.18339499831199646
Row 124: Col 0: 0.0, Col 1: 2.0, Col 2: 0.5, Col 3: 1.0, Target: 0.017256665974855423
Row 125: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.2516666650772095
Row 126: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.20000000298023224
Row 127: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.01577666588127613
Row 128: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.03333333507180214
Row 129: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.06761666387319565
Row 130: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.1666666716337204
Row 131: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.0827433317899704
Row 132: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.06400000303983688
Row 133: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.03999999910593033
Row 134: Col 0: 0.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.1666666716337204
Row 135: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.15000000596046448
Row 136: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.10618499666452408
Row 137: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.12894000113010406
Row 138: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.36666667461395264
Row 139: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.13333334028720856
Row 140: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.22499999403953552
Row 141: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.4000000059604645
Row 142: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.25
Row 143: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.13750000298023224
Row 144: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.1666666716337204
Row 145: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.13790667057037354
Row 146: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.10441499948501587
Row 147: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.15000000596046448
Row 148: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.2549999952316284
Row 149: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.2666666805744171
Row 150: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.2800000011920929
Row 151: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.25
Row 152: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.1262899935245514
Row 153: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.022333333268761635
Row 154: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.23999999463558197
Row 155: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.21203500032424927
Row 156: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.19843167066574097
Row 157: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.7049999833106995
Row 158: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.20000000298023224
Row 159: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.2083333283662796
Row 160: Col 0: 3.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.38333332538604736
Row 161: Col 0: 3.0, Col 1: 0.0, Col 2: 0.0, Col 3: 1.0, Target: 0.14166666567325592
Row 162: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.047281667590141296
Row 163: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.1063850000500679
Row 164: Col 0: 3.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.21671000123023987
Row 165: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.2750000059604645
Row 166: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.13333334028720856
Row 167: Col 0: 3.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.4166666567325592
Row 168: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.09166666865348816
Row 169: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.25
Row 170: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.28333333134651184
Row 171: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.13754667341709137
Row 172: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.10000000149011612
Row 173: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.3916666805744171
Row 174: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.101261667907238
Row 175: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.28999999165534973
Row 176: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.004765000194311142
Row 177: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.06673000007867813
Row 178: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.13500000536441803
Row 179: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.009464999660849571
Row 180: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.03768499940633774
Row 181: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.1512233316898346
Row 182: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.04334166646003723
Row 183: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.10316000133752823
Row 184: Col 0: 1.0, Col 1: 3.0, Col 2: 0.5, Col 3: 1.0, Target: 0.019999999552965164
Row 185: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.006666666828095913
Row 186: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.0833333358168602
Row 187: Col 0: 3.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.11623500287532806
Row 188: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.12805500626564026
Row 189: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.12333333492279053
Row 190: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.25333333015441895
Row 191: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.03640666604042053
Row 192: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.029999999329447746
Row 193: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.28999999165534973
Row 194: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.16018833220005035
Row 195: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.24500000476837158
Row 196: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.015453333035111427
Row 197: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.04056999832391739
Row 198: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.0901566669344902
Row 199: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.15000000596046448
Row 200: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.10244499891996384
Row 201: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.32499998807907104
Row 202: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.06304166465997696
Row 203: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.0833333358168602
Row 204: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.2666666805744171
Row 205: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.02150166593492031
Row 206: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.3333333432674408
Row 207: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 1.0, Target: 0.2750000059604645
Row 208: Col 0: 1.0, Col 1: 3.0, Col 2: 0.0, Col 3: 2.0, Target: 0.03333333507180214
Row 209: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.20000000298023224
Row 210: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.0413716658949852
Row 211: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.09456333518028259
Row 212: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.11003666371107101
Row 213: Col 0: 0.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.009803333319723606
Row 214: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.0413716658949852
Row 215: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.3083333373069763
Row 216: Col 0: 0.0, Col 1: 2.0, Col 2: 0.5, Col 3: 0.0, Target: 0.047681666910648346
Row 217: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.1512233316898346
Row 218: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.1477566659450531
Row 219: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.23333333432674408
Row 220: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.0776616632938385
Row 221: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.1948566734790802
Row 222: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 1.0, Target: 0.05634666606783867
Row 223: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.09375999867916107
Row 224: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.375
Row 225: Col 0: 3.0, Col 1: 1.0, Col 2: 1.0, Col 3: 0.0, Target: 0.6933333277702332
Row 226: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.14622999727725983
Row 227: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.1477566659450531
Row 228: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.22499999403953552
Row 229: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.11964333057403564
Row 230: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.02704666741192341
Row 231: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.4266666769981384
Row 232: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.3333333432674408
Row 233: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.3333333432674408
Row 234: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.30000001192092896
Row 235: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.18333333730697632
Row 236: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.10634999722242355
Row 237: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.07801499962806702
Row 238: Col 0: 0.0, Col 1: 0.0, Col 2: 0.0, Col 3: 1.0, Target: 0.006666666828095913
Row 239: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.036061666905879974
Row 240: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.17281833291053772
Row 241: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.13333334028720856
