date,EBAY,NVDA,YHOO
2011-08-09 00:00:00,30.159999,nan,nan
2011-08-10 00:00:00,29.149999,nan,nan
2011-08-11 00:00:00,30.199999,nan,nan
2011-08-12 00:00:00,30.529998,nan,nan
2011-08-15 00:00:00,30.89,nan,nan
2011-08-16 00:00:00,30.359999,nan,nan
2011-08-17 00:00:00,30.249999,nan,nan
2011-08-18 00:00:00,27.939999,nan,nan
2011-08-19 00:00:00,27.16,nan,nan
2011-08-22 00:00:00,27.36,nan,nan
2011-08-23 00:00:00,28.92,nan,nan
2011-08-24 00:00:00,29.049999,nan,nan
2011-08-25 00:00:00,28.33,nan,nan
2011-08-26 00:00:00,29.459999,nan,nan
2011-08-29 00:00:00,30.49,nan,nan
2011-08-30 00:00:00,30.949999,nan,nan
2011-08-31 00:00:00,30.869999,nan,nan
2011-09-01 00:00:00,30.39,nan,nan
2011-09-02 00:00:00,29.409999,nan,nan
2011-09-06 00:00:00,29.269998,nan,nan
2011-09-07 00:00:00,29.749999,nan,nan
2011-09-08 00:00:00,30.509999,nan,nan
2011-09-09 00:00:00,28.459998,nan,nan
2011-09-12 00:00:00,29.419998,nan,nan
2011-09-13 00:00:00,29.399999,nan,nan
2011-09-14 00:00:00,30.14,nan,nan
2011-09-15 00:00:00,32.039998,nan,nan
2011-09-16 00:00:00,33.689998,nan,nan
2011-09-19 00:00:00,33.1,nan,nan
2011-09-20 00:00:00,32.729999,nan,nan
2011-09-21 00:00:00,32.239998,nan,nan
2011-09-22 00:00:00,31.669999,nan,nan
2011-09-23 00:00:00,32.079998,nan,nan
2011-09-26 00:00:00,32.55,nan,nan
2011-09-27 00:00:00,32.519999,nan,nan
2011-09-28 00:00:00,31.64,nan,nan
2011-09-29 00:00:00,30.669998,nan,nan
2011-09-30 00:00:00,29.489999,nan,nan
2011-10-03 00:00:00,28.109998,nan,nan
2011-10-04 00:00:00,29.349999,nan,nan
2011-10-05 00:00:00,30.529998,nan,nan
2011-10-06 00:00:00,31.44,nan,nan
2011-10-07 00:00:00,31.069999,nan,nan
2011-10-10 00:00:00,32.3,nan,nan
2011-10-11 00:00:00,32.829999,nan,nan
2011-10-12 00:00:00,32.75,nan,nan
2011-10-13 00:00:00,32.739998,nan,nan
2011-10-14 00:00:00,33.689998,nan,nan
2011-10-17 00:00:00,33.219999,nan,nan
2011-10-18 00:00:00,33.869999,nan,nan
2011-10-19 00:00:00,33.179999,nan,nan
2011-10-20 00:00:00,32.15,nan,nan
2011-10-21 00:00:00,32.119999,nan,nan
2011-10-24 00:00:00,32.369999,nan,nan
2011-10-25 00:00:00,31.669999,nan,nan
2011-10-26 00:00:00,31.079998,nan,nan
2011-10-27 00:00:00,32.289998,nan,nan
2011-10-28 00:00:00,33.25,nan,nan
2011-10-31 00:00:00,31.829998,nan,nan
2011-11-01 00:00:00,30.89,nan,nan
2011-11-02 00:00:00,31.779998,nan,nan
2011-11-03 00:00:00,33.05,nan,nan
2011-11-04 00:00:00,32.709999,nan,nan
2011-11-07 00:00:00,32.469999,nan,nan
2011-11-08 00:00:00,32.919999,nan,nan
2011-11-09 00:00:00,31.179998,nan,nan
2011-11-10 00:00:00,30.749999,nan,nan
2011-11-11 00:00:00,31.759999,nan,nan
2011-11-14 00:00:00,31.409999,nan,nan
2011-11-15 00:00:00,31.45,nan,nan
2011-11-16 00:00:00,30.54,nan,nan
2011-11-17 00:00:00,29.649999,nan,nan
2011-11-18 00:00:00,29.809999,nan,nan
2011-11-21 00:00:00,28.749999,nan,nan
2011-11-22 00:00:00,29.039999,nan,nan
2011-11-23 00:00:00,28.549999,nan,nan
2011-11-25 00:00:00,28.23,nan,nan
2011-11-28 00:00:00,29.659999,nan,nan
2011-11-29 00:00:00,28.749999,nan,nan
2011-11-30 00:00:00,29.59,nan,nan
2011-12-01 00:00:00,29.68,nan,nan
2011-12-02 00:00:00,29.599999,nan,nan
2011-12-05 00:00:00,30.699999,nan,nan
2011-12-06 00:00:00,30.899999,nan,nan
2011-12-07 00:00:00,30.94,nan,nan
2011-12-08 00:00:00,31.029998,nan,nan
2011-12-09 00:00:00,31.64,nan,nan
2011-12-12 00:00:00,31.129998,nan,nan
2011-12-13 00:00:00,30.84,nan,nan
2011-12-14 00:00:00,30.269998,nan,nan
2011-12-15 00:00:00,29.599999,nan,nan
2011-12-16 00:00:00,30.399999,nan,nan
2011-12-19 00:00:00,29.769998,nan,nan
2011-12-20 00:00:00,30.629998,nan,nan
2011-12-21 00:00:00,30.34,nan,nan
2011-12-22 00:00:00,30.609999,nan,nan
2011-12-23 00:00:00,30.84,nan,nan
2011-12-27 00:00:00,30.919999,nan,nan
2011-12-28 00:00:00,30.409999,nan,nan
2011-12-29 00:00:00,30.359999,nan,nan
2011-12-30 00:00:00,30.33,nan,nan
2012-01-03 00:00:00,31.34,nan,nan
2012-01-04 00:00:00,30.159999,nan,nan
2012-01-05 00:00:00,30.709999,nan,nan
