CountryCode,CityName,Pop2017,Latitude,Longitude
AO,Luau,18465,10.7073,22.2247
AO,Lubango,102541,14.9167,13.5
AO,Lucapa,20115,8.41915,20.7447
AO,Luena,21115,11.7833,19.9167
AO,Lumeje,4972,11.55,20.7833
AO,Malanje,87047,9.54472,16.3453
AO,Menongue,19141,14.6616,17.6882
AO,Namibe,80150,15.1961,12.1522
AO,Ondjiva,10169,17.0667,15.7333
AO,Saurimo,40498,9.66078,20.3916
AO,Soyo,67553,6.1349,12.3689
AO,Sumbe,33278,11.206,13.8437
AO,Uige,60008,7.61328,15.0566
AR,Alta Gracia,40385,31.6529,64.4283
AR,Azul,52333,36.777,59.8585
AR,Bahia Blanca,282950,38.7196,62.2724
AR,Bell Ville,35106,32.6259,62.6887
AR,Campana,83175,34.1687,58.9591
AR,Catamarca,213601,28.4696,65.7852
AR,Chacabuco,34587,34.6417,60.4739
AR,Chivilcoy,52307,34.8957,60.0167
AR,Comodoro Rivadavia,142597,45.8641,67.4966
AR,Concepcion Del Uruguay,72904,32.4825,58.2372
AR,Concordia,155686,31.393,58.0209
AR,Cordoba,1441007,31.4135,64.1811
AR,Corrientes,390481,27.4806,58.8341
AR,Dolores,25190,36.3132,57.6792
AR,Eldorado,62823,26.4048,54.6248
AR,Formosa,248756,26.1775,58.1781
AR,General Pico,55900,35.6566,63.7568
AR,General Roca,76066,39.028,67.5737
AR,Goya,70340,29.14,59.2626
AR,Gualeguay,33120,33.1416,59.3097
AR,Gualeguaychu,88218,33.0094,58.5172
AR,Jujuy,277150,24.1946,65.2971
AR,Junin,76369,34.5838,60.9433
AR,La Plata,684318,34.9215,57.9545
AR,La Rioja,178497,29.411,66.8507
AR,Libertador General San Martin,49273,23.8064,64.7876
AR,Lincoln,24798,34.8665,61.5302
AR,Lujan,74823,34.5703,59.105
AR,Mar Del Plata,645771,38.0023,57.5575
AR,Mendoza,973047,32.8908,68.8272
AR,Mercedes,30649,29.1819,58.079
AR,Necochea,84969,38.5473,58.7368
AR,Neuquen,359037,38.9516,68.0591
AR,Nueve De Julio,34717,35.4444,60.8831
AR,Obera,58939,27.4871,55.1199
AR,Olavarria,80005,36.8927,60.3225
AR,Parana,299257,31.732,60.5238
AR,Pergamino,86708,33.8899,60.5736
AR,Posadas,313438,27.3671,55.8961
AR,Presidencia Roque Saenz Pena,89584,26.7852,60.4388
AR,Puerto Madryn,95547,42.7692,65.0385
AR,Punta Alta,53117,38.8759,62.0736
AR,Rafaela,84025,31.2503,61.4867
AR,Rawson,26341,43.3002,65.1023
AR,Reconquista,95979,29.15,59.65
AR,Resistencia,406967,27.4606,58.9839
AR,Rio Cuarto,174058,33.1307,64.3499
AR,Rio Gallegos,93234,51.6226,69.2181
AR,Rio Tercero,53396,32.173,64.1141
AR,Rivadavia,65641,33.1905,68.4608
AR,Rosario,1218497,32.9468,60.6393
AR,Salta,548288,24.7859,65.4117
AR,San Carlos De Bariloche,110044,41.1403,71.3014
AR,San Francisco,71444,31.428,62.0827
AR,San Juan,469958,31.5375,68.5364
AR,San Lorenzo,47627,28.1331,58.7673
AR,San Luis,184869,33.295,66.3356
AR,San Martin,107554,33.081,68.4681
AR,San Nicolas,130705,33.3358,60.2252
AR,San Pedro,67514,33.6791,59.6666
AR,San Rafael,125033,34.6177,68.3301
AR,San Ramon De La Nueva Oran,84504,23.134,64.3246
AR,San Vicente,84333,34.9826,58.3762
AR,Santa Fe,456044,31.6295,60.701
AR,Santa Rosa,89478,36.6167,64.2833
AR,Santiago Del Estero,407636,27.7951,64.2615
AR,Tandil,100127,37.3217,59.1332
AR,Tartagal,63600,22.5164,63.8013
AR,Trelew,107883,43.2501,65.3133
AR,Tres Arroyos,47143,38.3739,60.2798
AR,Tucuman,828402,26.8241,65.2226
AR,Ushuaia,58045,54.8,68.3
AR,Veinticinco De Mayo,24668,35.4323,60.1727
AR,Venado Tuerto,71794,33.7456,61.9688
AR,Victoria,25139,32.6199,60.1539
AR,Viedma,76553,40.8135,62.9967
AR,Villa Carlos Paz,61095,31.4241,64.4978
AR,Villa Constitucion,44278,33.2278,60.3297
AR,Villa Maria,92337,32.4075,63.2402
AR,Zarate,88222,34.0981,59.0286
AS,Pago Pago,3656,14.2794,170.701
AT,Absam,6594,47.3,11.5
AT,Abtenau,5829,47.55,13.35
AT,Altach,6040,47.35,9.65
AT,Althofen,4833,47.15,14.2333
AT,Altmunster,9652,47.9,13.75
AT,Amstetten,22832,48.1167,14.8667
AT,Anif,4154,47.75,13.0667
AT,Ansfelden,14936,48.2,14.2833
AT,Arnoldstein,6923,46.5461,13.71
AT,Asten,6517,48.2167,14.4
AT,Axams,5560,47.2333,11.3
AT,Bad Aussee,5210,47.6,13.7833
AT,Bad Goisern,7869,47.6333,13.6167
AT,Bad Hall,4935,48.0333,14.2
AT,Bad Hofgastein,7002,47.1667,13.1
AT,Bad Ischl,14267,47.7167,13.6167
AT,Bad Sankt Leonhard,4775,46.9628,14.7917
AT,Bad Voslau,11013,47.9667,16.2
AT,Baden,24893,48.0167,16.2333
AT,Barnbach,4850,46.9833,16.05
AT,Bergheim,5031,47.8333,13.0333
AT,Berndorf,8796,47.95,16.1
AT,Bischofshofen,10145,47.4167,13.2167
AT,Bludenz,13904,47.1497,9.81667
AT,Braunau,16403,48.2667,13.0333
AT,Bregenz,26928,47.5,9.76667
AT,Bruck An Der Leitha,7339,48.0167,16.7667
AT,Bruck An Der Mur,13254,47.4167,15.2833
AT,Deutsch Wagram,7153,48.2997,16.5667
AT,Deutschlandsberg,8049,46.8153,15.2222
AT,Dornbirn,43013,47.4167,9.73306
AT,Ebbs,5088,47.6333,12.2167
AT,Ebensee,8376,47.8,13.7667
AT,Ebenthal,7809,46.6081,14.3642
AT,Eberndorf,6089,46.5914,14.6436
AT,Ebreichsdorf,9509,47.95,16.4
AT,Eisenerz,5987,47.5333,14.8833
AT,Eisenstadt,11767,47.85,16.5167
AT,Engerwitzdorf,8510,48.35,14.45
AT,Enns,10816,48.2,14.4667
AT,Feldbach,4877,46.9531,15.8883
AT,Feldkirch,29446,47.2331,9.6
AT,Feldkirchen,14440,46.7167,14.1
AT,Feldkirchen An Der Donau,5286,48.35,14.05
AT,Ferlach,7661,46.5269,14.3019
AT,Finkenstein,8406,46.5656,13.8653
AT,Fohnsdorf,8203,47.2,14.6833
AT,Frankenburg,5162,48.0667,13.4833
AT,Freistadt,7574,48.5,14.5
AT,Friesach,5369,46.9553,14.4058
AT,Frohnleiten,6629,47.2667,15.3167
AT,Fugen,3734,47.35,11.85
AT,Furstenfeld,5962,47.05,16.0833
AT,Gallneukirchen,6282,48.35,14.4167
AT,Ganserndorf,8588,48.35,16.7333
AT,Garsten,6657,48.0167,14.4
AT,Gleisdorf,5245,47.1,15.7167
AT,Gloggnitz,6213,47.6667,15.9333
AT,Gmund,5811,48.7667,14.9833
AT,Gmunden,13287,47.9167,13.8
AT,Gotzis,10342,47.3331,9.63306
AT,Gratkorn,6806,47.1333,15.35
AT,Graz,222326,47.0667,15.45
AT,Grieskirchen,4766,48.2333,13.8333
AT,Grodig,6918,47.7333,13.0333
AT,Guntramsdorf,9071,48.0333,16.3
AT,Haag,5164,48.15,15.5
AT,Hainburg,5622,48.15,16.9333
AT,Hall,11197,47.6,14.45
AT,Hallein,18980,47.6833,13.1
AT,Hard,11766,47.4831,9.68306
AT,Heidenreichstein,4472,48.8667,15.1167
AT,Hermagor,7242,46.6272,13.3672
AT,Herzogenburg,7866,48.2667,15.6833
AT,Himberg,5534,48.0833,16.4333
AT,Hochst,7207,47.4667,9.63306
AT,Hohenems,14072,47.3667,9.68306
AT,Hollabrunn,10966,48.55,16.0833
AT,Hopfgarten,5314,47.45,12.1667
AT,Horbranz,6414,47.55,9.75
AT,Horn,6485,48.65,15.65
AT,Horsching,5312,48.2333,14.1833
AT,Imst,9225,47.2333,10.7333
AT,Innsbruck,112467,47.2667,11.4
AT,Jenbach,6806,47.4,11.7833
AT,Jennersdorf,4319,46.9392,16.1467
AT,Judenburg,9992,47.1667,14.6667
AT,Kapfenberg,21819,47.4333,15.3
AT,Kindberg,5790,47.5,15.45
AT,Kirchbichl,5115,47.5167,12.0833
AT,Kitzbuhel,8818,47.45,12.3833
AT,Klagenfurt,90610,46.6247,14.3053
AT,Klosterneuburg,24843,48.3,16.3167
