acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.987,['The Fairfield Four'],0.309,247173.0,4.11955,0.152,0.0,3t3c70vtCfM9PwBjy4v4XH,0.000304,2.0,0.147,-14.695,1.0,Lonesome Valley,41.0,2000-12-05,0.0491,134.204,0.153,2000.0
0.994,['John Hartford'],0.246,154133.0,2.5688833333333334,0.0248,0.0,39CbxPVnwNbbiHsen4NrxL,0.0698,6.0,0.0827,-23.075,1.0,I Am A Man Of Constant Sorrow - Instrumental,41.0,2000-12-05,0.039,141.532,0.6459999999999999,2000.0
0.967,['Silver Mt. Zion'],0.115,442293.0,7.37155,0.303,0.0,3cEVhx8rkM0FlETJFFpxoF,0.852,11.0,0.0611,-13.693,0.0,13 Angels Standing Guard 'Round The Side Of Your Bed,44.0,2000-03-13,0.0403,79.193,0.039,2000.0
0.957,['Jill Scott'],0.301,102280.0,1.7046666666666668,0.0654,0.0,1MOAgfNFslmaHFY3RchuIx,4.74e-05,1.0,0.0954,-16.461,0.0,I Think It's Better,37.0,2000-07-18,0.047,175.768,0.0578,2000.0
0.978,['Alan Menken' 'Anders Soldh' 'Gävle Symphony Orchestra' 'Alexander Hanson'],0.173,214360.0,3.572666666666667,0.0801,0.0,1woA76rgRgf007W91VCM4N,0.892,5.0,0.0828,-22.474,1.0,The Little Mermaid: Part of Your World (arr. for orchestra),43.0,2000-01-01,0.041,139.523,0.05,2000.0
0.962,['The Microphones'],0.596,188640.0,3.1439999999999997,0.174,0.0,2Qhkk4hPdkt3NIVtiT8QEe,0.0894,0.0,0.104,-18.634,1.0,Headless Horseman,44.0,2001-09-11,0.0691,100.08,0.0748,2001.0
0.953,['John Debney'],0.247,56307.0,0.93845,0.0245,0.0,2ujV4s7kebg7kGP7FZUXql,0.97,9.0,0.112,-27.659,1.0,Main Titles - Princess Diaries Score,44.0,2001-01-01,0.0347,36.897,0.159,2001.0
0.97,['John Williams'],0.303,158760.0,2.646,0.003820000000000001,0.0,0obKFDzE3dlnDLqkNPLUkx,0.835,7.0,0.13699999999999998,-41.844,1.0,Fluffy's Harp,46.0,2001-10-30,0.0447,121.89,0.0705,2001.0
0.995,['Wolfgang Amadeus Mozart' 'Oslo Philharmonic Wind Soloists'],0.156,251200.0,4.1866666666666665,0.0282,0.0,5jahnGcLiUJ534BdDmmgwq,0.924,3.0,0.115,-24.382,1.0,Serenade No. 12 in C Minor K. 388: II. Andante,49.0,2002-03-14,0.038,76.72800000000002,0.0953,2002.0
0.995,['Johann Sebastian Bach' 'Glenn Gould'],0.436,224133.0,3.7355500000000004,0.00518,0.0,1aTpzY2ggWHhPi8p2f56u1,0.932,7.0,0.0788,-36.593,1.0,Goldberg Variations BWV 988: Aria da capo - 1981 Version,47.0,2002-08-27,0.067,135.286,0.275,2002.0
0.994,['Erik Satie' 'Jean-Yves Thibaudet'],0.16699999999999998,216680.0,3.6113333333333335,0.0026100000000000003,0.0,5uaqfXP4wBosOea7QLokJP,0.887,9.0,0.076,-38.553,0.0,Gnossiennes: No. 4,45.0,2002-01-01,0.0426,63.029,0.104,2002.0
0.994,['John Cage' 'Alexei Lubimov'],0.202,531827.0,8.863783333333334,0.0048,0.0,1qbrS9PKOzsack0g7LiBhh,0.938,10.0,0.0772,-37.422,1.0,In a Landscape,50.0,2002-05-13,0.0397,68.527,0.195,2002.0
0.958,['Stephen Schwartz' 'Idina Menzel' 'Stephen Oremus' 'Alex Lacamoire'],0.231,178760.0,2.9793333333333334,0.0755,0.0,6eRV2uv4DWyZn9dNXn5xX4,0.000119,9.0,0.101,-18.902,1.0,I'm Not That Girl - From "Wicked" Original Broadway Cast Recording/2003,41.0,2003-01-01,0.0395,180.188,0.205,2003.0
0.983,['Franz Liszt' 'Paul Lewis'],0.29,154400.0,2.5733333333333333,0.0077,0.0,0eiT0cfG4TT3u6Zw68A1Kw,0.921,11.0,0.0787,-38.933,1.0,En rêve nocturne S. 207,47.0,2003-12-13,0.0434,135.607,0.0386,2003.0
0.989,['William Chapman Nyaho'],0.458,147587.0,2.459783333333333,0.0183,0.0,67HF6y5o1UhIFUGIOPzUK5,0.879,4.0,0.07400000000000001,-29.244,1.0,Three Jamaican Dances: No. 2,45.0,2003-08-28,0.0453,117.004,0.219,2003.0
0.984,['Jules Massenet' 'Yo-Yo Ma' 'Kathryn Stott'],0.0789,346600.0,5.776666666666667,0.0271,0.0,2JJWto8imzsHMGXQ1gm84v,0.813,2.0,0.073,-27.237,1.0,Thaïs: Méditation (Arr. for Cello & Piano),45.0,2003,0.0447,80.161,0.0373,2003.0
0.971,['A Perfect Circle'],0.14300000000000002,244773.0,4.07955,0.192,0.0,0yRtn9coNCSWIigvKJA5wn,0.02,1.0,0.183,-15.355,1.0,The Nurse Who Loved Me,44.0,2003-01-01,0.0376,79.619,0.127,2003.0
0.978,['Georges Bizet' 'Angela Gheorghiu' 'Michel Plasson' 'Wolff' 'Orchestre National du Capitol de Toulouse' 'Orchestre National Du Capitole De Toulouse'],0.364,275467.0,4.591116666666666,0.0592,0.0,3pzBD8BVdrv7VJ7glRYshl,0.0,2.0,0.0823,-21.757,1.0,Carmen Act I: No.5 Habanera : L'amour est un oiseau rebelle (Carmen/Cigarières/Jeunes gens/Dragons),49.0,2003-02-25,0.057,123.789,0.185,2003.0
0.968,["The Wailin' Jennys"],0.504,140133.0,2.33555,0.008459999999999999,0.0,0zwkLwuSIuqQ9a45lTFlSC,0.0,4.0,0.226,-19.168,1.0,The Parting Glass,42.0,2004-01-02,0.103,86.09899999999998,0.179,2004.0
0.956,['Tommy Dorsey' 'Frank Sinatra'],0.456,199733.0,3.328883333333333,0.0328,0.0,0HFWS5C6ThNeuOr10Xz21U,7.63e-05,2.0,0.152,-23.702,1.0,Polka Dots and Moonbeams,47.0,2005-09-19,0.0532,82.93799999999997,0.342,2005.0
0.962,['Fred Mollin'],0.374,208640.0,3.477333333333333,0.0264,0.0,41jXeGNqW4ogirMy8IJzzN,0.657,1.0,0.128,-20.717,1.0,Hush Little Baby/Rock-A-Bye Baby - Instrumental,46.0,2005-01-01,0.0411,135.874,0.116,2005.0
0.958,['Harry Gregson-Williams'],0.231,72880.0,1.2146666666666666,0.174,0.0,03pWkKJjo8ATe0z4SWGzyd,0.843,5.0,0.234,-16.718,1.0,A Narnia Lullaby,49.0,2005-12-13,0.15,91.125,0.0322,2005.0
0.991,['Morten Lauridsen' 'Chamber Choir Of Europe' 'Nicol Matt'],0.0623,415800.0,6.930000000000001,0.0116,0.0,0S0YKiEdR9cT9pYgEaTevF,0.445,2.0,0.0816,-27.893,1.0,O Magnum Mysterium: O magnum mysterium,50.0,2006-01-01,0.0567,65.057,0.0331,2006.0
0.982,['Stan Whitmire'],0.539,261120.0,4.352,0.166,0.0,3Ckm40tSW3MSqo7z7GtK4A,0.873,6.0,0.0945,-19.593,0.0,Hero,51.0,2006-01-01,0.0453,121.925,0.215,2006.0
0.977,['The Killers'],0.485,49907.0,0.8317833333333333,0.205,0.0,4pTvgNra8siMoIT8u3epTr,0.0168,11.0,0.165,-15.733,1.0,Enterlude,50.0,2006-10-02,0.0524,135.019,0.338,2006.0
0.985,["The Wailin' Jennys"],0.462,130280.0,2.1713333333333336,0.0435,0.0,66JpLq0hpmtHWNYgp8USVs,0.0,8.0,0.182,-16.884,1.0,Long Time Traveller,43.0,2006-06-06,0.0442,95.762,0.259,2006.0
0.986,['Deya Dova'],0.391,243573.0,4.05955,0.128,0.0,2O4i80yTXVXmzk68z3dLYf,0.0,5.0,0.159,-12.946,0.0,Bloom,50.0,2006-01-01,0.0511,171.33599999999996,0.526,2006.0
0.952,["Catherine O'Hara"],0.268,107667.0,1.79445,0.113,0.0,0Zj3Ihs4nn3G3xZ2LKLEbP,0.000389,0.0,0.191,-19.601,1.0,Sally's Song,45.0,2006-01-01,0.0383,111.801,0.113,2006.0
0.98,['Johann Nepomuk Hummel' 'Tine Thing Helseth'],0.496,224640.0,3.7439999999999998,0.249,0.0,246ntJR3A2s7B5E40FTCLf,0.934,3.0,0.12,-18.131,1.0,Hummel: Trumpet Concerto In E Flat - Iii Rondo,50.0,2007-11-12,0.0411,144.239,0.7190000000000001,2007.0
0.967,['Norah Jones'],0.484,211467.0,3.5244500000000003,0.0653,0.0,0KNbGtYQmQo8XjVqJMWF3Y,0.0203,5.0,0.0728,-17.207,1.0,Not Too Late,54.0,2007-01-24,0.0312,89.045,0.154,2007.0
0.98,['Deuter'],0.136,498213.0,8.30355,0.0955,0.0,04M6R4Fbah2AvgBPbCCbkl,0.917,4.0,0.085,-21.049,0.0,Kindred Spirit,51.0,2007-02-13,0.0456,73.976,0.0392,2007.0
0.991,['The Cinematic Orchestra'],0.466,112827.0,1.88045,0.168,0.0,4jSuthawb7fitf3Wx3MqVM,0.894,9.0,0.0885,-14.068,1.0,That Home,45.0,2007-06-05,0.0268,85.508,0.0386,2007.0
0.955,['Stars Of The Lid'],0.0629,272787.0,4.546449999999999,0.0718,0.0,4TrCvd1PrqI14lZb7tEtYo,0.907,8.0,0.0906,-24.789,0.0,A Meaningful Moment Through a Meaning(less) Process,48.0,2007-04-02,0.0432,67.25,0.0324,2007.0
0.972,['Dean Evenson' 'Scott Huckabay'],0.107,470107.0,7.835116666666667,0.11,0.0,1Dk2yfU21TrinTb44Nr25J,0.961,4.0,0.079,-20.904,0.0,Third Eye Chakra - Light Vision,51.0,2008-06-10,0.0414,60.194,0.0369,2008.0
0.994,['Claude Debussy' 'Simon Trpčeski'],0.329,271213.0,4.520216666666667,0.0102,0.0,5Ebm8OIFGeyoK25ZzXuju5,0.918,6.0,0.103,-29.214,0.0,Debussy: Deux Arabesques L. 74 L. 66: Deuxième arabesque,50.0,2008-01-14,0.0385,132.244,0.0684,2008.0
0.984,['Deuter'],0.181,356000.0,5.933333333333334,0.00687,0.0,3wDjJstO6soS2ewJ3xhyDG,0.946,6.0,0.103,-26.434,1.0,Uno,54.0,2009-02-13,0.0358,72.355,0.0407,2009.0
0.987,['Alexandre Desplat'],0.449,249027.0,4.15045,0.0844,0.0,4xHpqKKjWAULcbFlVefLrw,0.901,9.0,0.131,-19.391,0.0,New Moon (The Meadow),49.0,2009-10-09,0.0437,124.936,0.105,2009.0
0.995,['Ludwig van Beethoven' 'Louis Lortie'],0.244,442600.0,7.376666666666667,0.0021,0.0,2Y95aUjHiOtgL8A6t52Ynl,0.86,1.0,0.161,-41.044,0.0,Piano Sonata No. 14 in C-Sharp Minor Op. 27 No. 2 "Moonlight": I. Adagio sostenuto,53.0,2010-10-26,0.0417,64.36399999999999,0.187,2010.0
0.988,['Frédéric Chopin' 'Hélène Grimaud'],0.319,292547.0,4.875783333333334,0.0712,0.0,38J3F2EqXt9DnRstJiziTJ,0.905,1.0,0.141,-26.415,1.0,Berceuse In D Flat Op.57,51.0,2010-01-01,0.0379,95.365,0.0835,2010.0
0.993,['Franz Liszt' 'Lise de la Salle'],0.341,357747.0,5.9624500000000005,0.0142,0.0,3GecLjGMqzjmgkvy2v41Wf,0.921,2.0,0.113,-28.29300000000001,1.0,Ständchen in D Minor (After Schubert) S. 560,55.0,2011-08-23,0.0388,76.382,0.0384,2011.0
