167,Martin,Brown,Uni St. Gallen,USG,Saint Gallen,Diverse Gutachten,KfW Development Bank,Financial industry & insurances
168,Martin,Brown,Uni St. Gallen,USG,Saint Gallen,Diverse kleinere Tätigkeiten,Departement für Entwicklungshilfe und -zusammenarbeit DEZA,"Politics, administration, justice system & security sector"
169,Martin,Brown,Uni St. Gallen,USG,Saint Gallen,Diverse kleinere Tätigkeiten,European Fund for Southeast Europe (EFSE),"Politics, administration, justice system & security sector"
170,Martin,Brown,Uni St. Gallen,USG,Saint Gallen,Member of Technical Assistance Committee,ResponsAbility,Financial industry & insurances
171,Heike,Bruch,Uni St. Gallen,USG,Saint Gallen,Mitglied des Fachrates,Schweizer Kaderorganisation SKO,"Commerce, trade & services"
172,Heike,Bruch,Uni St. Gallen,USG,Saint Gallen,Mitglied des Vorstandes,Das Demographienetzwerk ddn,"Society, Social, Culture & Sports"
173,Heike,Bruch,Uni St. Gallen,USG,Saint Gallen,Mitglied des Vorstandes,Deutsche Gesellschaft für Personalführung DGFP,"Commerce, trade & services"
174,Heike,Bruch,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratspräsidentin und Gründerin,Energy factory,"Consulting, public relations, legal & trust"
175,Jürgen,Brugger,ETH Lausanne,EPF,Lausanne,Proposal reviewing ARGOVIA,"Swiss Nanoscience Institute, Basel",Education & research
176,Jürgen,Brugger,ETH Lausanne,EPF,Lausanne,Proposal reviewing HEPIA,"HES Campus Biotech, Genève",Education & research
177,Eugen,Brühwiler,ETH Lausanne,EPF,Lausanne,Expert/conseiller pour le suivi de questions liées à la structure porteuse de la Cathédrale de Lausanne,Canton de Vaud SIPAL,"Politics, administration, justice system & security sector"
178,Eugen,Brühwiler,ETH Lausanne,EPF,Lausanne,Ingénieur-expert dans le cadre du bétonnage du Tunnel Eyholz à Visp VS,"Office fédéral des routes, Sion","Energy, environment & mobility"
179,Eugen,Brühwiler,ETH Lausanne,EPF,Lausanne,Panoramaweg Rigi SZ : mandat de conseil pour la restoration de ponts historiques,"Office fédéral des routes, Bern","Energy, environment & mobility"
180,Eugen,Brühwiler,ETH Lausanne,EPF,Lausanne,Projet de normalisation européen (Projet SIA NDP - EN 1991),"Société des Ingénieurs et Architectes Suisses, SIA, Zurich","Commerce, trade & services"
181,Eugen,Brühwiler,ETH Lausanne,EPF,Lausanne,"Quatre mandats d'expertise (en tant qu'expert fédéral), mandatés par l'Office Fédéral de la Culture","BAK, Heimatschutz und Denkmalpflege, Bern","Society, Social, Culture & Sports"
